الرقم,اسم الشركة,الهاتف,الإيميل,الموقع,العنوان,القطاع,رقم الصفحة
27,مؤسسة مملكة النحل – عتمان الأصلى,0020403060001,367_admin@egyptexportgate.com,http://www.ettmanhoneykingdom.com /facebook/beekingdombee,طنطا-طريق المحلة الكبرى الكيلو 9 – شبشير الحصة   						محافظة الغربية,الصناعات الغذائية,3
28,الأمير لتصنيع وتجهيز الحاصلات الزراعية,0020452702911/ 0020452702386,alamir_ac@hotmail.com,http://alamireg.com/,حوش عيسى - طريق دمنهور/أبو المطامير - البحيرة  						محافظة البحيرة,الحاصلات الزراعية,3
29,إل جي  للإلكترونيات,(064) 3482146-3482147,378@expoegypt.com,http://www.lg.com - http://www.lg.com/eg_ar,المنطقة الصناعية الثانية بجوار مصنع يوتن  						محافظة الإسماعيلية,الصناعات الهندسية,3
30,صان بريزم لتكنولوجيا الطاقة,01222302772 - 3485247/064,379@expoegypt.com,https://sunprismsolar.com/,المنطقة الحرة العامة بالإسماعيلية ، مصر  						محافظة الإسماعيلية,الصناعات الهندسية,3
31,السويدي للإضاءة والصناعات الكهربائية,3483440 – 3483276 - 0223911633,380@expoegypt.com,http://www.elsewedylighting.com,المنطقة الصناعية الأولي بالإسماعيلية  						محافظة الإسماعيلية,الصناعات الهندسية,4
32,كفر الزيات للمبيدات والكيماويات,0020402542444 - 0020402542355,386@expoegypt.com,http://www.kz-chemicals.com,كفر الزيات   						محافظة الغربية,الصناعات الكيماوية والأسمدة,4
33,بيرد للملابس الجاهزة,0020402443239,387@expoegypt.com,,موقف كفر الشيخ خلف الادارة الزراعية  - المحلة الكبرى   						محافظة الغربية,الغزل والمنسوجات,4
34,سقارة للحاصلات الزراعية,01222334202- 01222334262,388@expoegypt.com,,طنطا الطريق السريع – بجوار مصنع الكوكاكولا  						محافظة الغربية,الحاصلات الزراعية,4
35,الاسكندرية للغزل والنسيج,(203) 3813240,393_admin@egyptexportgate.com,http://www.spinalex.com,الإسكندرية -البر القبلى -قنال المحمودية – النزهة  						محافظة الاسكندرية,الغزل والمنسوجات,4
36,شركة الصفا للطباعة و التغليف,+(203) 4700125,394_admin@egyptexportgate.com,,الكيلو 23 طريق اسكندرية القاهرة الصحراوى - مرغم  						محافظة الاسكندرية,الطباعة والتغليف والورق,4
37,الشركة التجارية للاخشاب (فاباس),+(203) 4401033,430_admin@egyptexportgate.com,www.fabas.com.eg,1 شارع ست الملك - الورديان  						محافظة الاسكندرية,الأثاث,4
38,مؤسسة هيا,00201221579012 / 00201096699728,hayegypt@gmail.com,http://www.hayafoodsegypt.com,75ك طريق مصر اسكندرية الصحراوى - مدينة النوبارية - البحيرة  						محافظة البحيرة,الصناعات الغذائية,4
39,شركة الحناوى للدخان والمعسل,+20453319446 / +20453319142,229@expoegypt.com,,4 ش الحناوى - دمنهور - البحيرة  						محافظة البحيرة,الصناعات الغذائية,4
40,شركة الحناوى للدخان والمعسل,0020453319446 /0020453319142,233@expoegypt.com,,4 ش الحناوى - دمنهور - البحيرة  						محافظة البحيرة,الصناعات الغذائية,4
41,مصر للحرير الصناعي وألياف البولى استر,0020452278518 / 002033932290,info@misrayon.com,http://www.misrayon.com,دفشو - كفر الدوار - البحيرة  						محافظة البحيرة,الغزل والمنسوجات,5
42,المصرية للتجارة والصناعة (سوجيك),+(203) 3612597- 3615748,244@expoegypt.com,http://www.sogic-group.com/,ش قناة السويس – أمام شركة الزيوت المستخلصة – بجوار فندق سيستا - المنشية الجديدة -محرم بك  						محافظة الاسكندرية,الملابس الجاهزة,5
43,جودة للمنتجات الزراعية,0473402097,252_admin@egyptexportgate.com,,عزبة جودة - قلين - كفرالشيخ  						محافظة كفر الشيخ,الحاصلات الزراعية,5
44,هيربس مان,,info@herbs-man.com,https://herbs-man.com/index.html,ابوجنشو - ابشواي - الفيوم - مصر  						محافظة الفيوم,الحاصلات الزراعية,5
45,مصنع ادخنه الدفراوي,,Eldefrawi.factory1912@gmail.com,,محافظة الاسكندرية,الأثاث,5
46,دياثيرم,,info@dayatherm.com,https://dayatherm.com/,محافظة الفيوم,الصناعات الهندسية,5
47,استيراد وتصدير,00201000565513,moustafawahab71@gmail.com,,م  المنصورة   بدين  						محافظة الدقهلية,الحاصلات الزراعية,5
48,Rageh import & export,01008201453,sayedrageh53@gmail.com,,Kom hammada  elbeheira  						محافظة البحيرة,الحاصلات الزراعية,5
49,hassan abdelrazek,,hassanabdelrazek@outlook.com,,محافظة دمياط,الأثاث,5
50,عياد للتجارة,0472559120,ayadamr@yahoo.com,,دسوق  الميدان الابراهيمى 30 عمارة احمد سالم  						محافظة كفر الشيخ,الحاصلات الزراعية,5
51,أجرو سيتي للإستيراد والتصدير - عبد المقصود فوزي,,abdo@agro-city.com,http://www.agro-city.com,محافظة المنوفية,الحاصلات الزراعية,6
52,Abo elhol Egyptian Company for Oils and Detergents,033817082,aboelhol86@gmail.com,http://www.abo-elhol.com,شارع قنال المحمودية البر القبلي محرم بك  						محافظة الاسكندرية,الصناعات الغذائية,6
53,البدر,,mosline_2002@yahoo.com,,محافظة الجيزة,الأثاث,6
54,المجد لتسويق المفروشات وتجهيزات الفنادق,00201000279001 / 00201033048811,elmagd.marketing@gmail.com,,414شارع بورسعيد . الموسكى . القاهره .   						محافظة القاهرة,المفروشات المنزلية,6
55,نكسز الزراعية,01015673289,nexus.misr@gmail.com,,طنطا - 23 ش حسن رضوان   						محافظة الغربية,الحاصلات الزراعية,6
56,GENERAL METAL,+2-01005810664,ahmed.samir@asasaltaemir.com,,AL MAHALLA AL KOBRA . ALGHARBIA  						محافظة الغربية,الصناعات الهندسية,6
57,البستان للتعمير والتنمية الزراعية,+20 (3) 4842756,export@elbostan-group.com,http://www.elbostan-group.com,25 شارع السلطان حسين - عمارة السلطان رويال بلازا - الدور الخامس - شقه 503  						محافظة الاسكندرية,الحاصلات الزراعية,6
58,alzahbyalzahby,,alzahaby.co@gmail.com,,محافظة البحيرة,الأثاث,6
59,Egyptian European Company for Food Products,02 23896287,info@egeufoods.com,http://www.egeufoods.com,10th of Ramadan - 3rd Industrial Zone،A3.1/92  						محافظة الشرقية,الصناعات الغذائية,6
60,دريم هيربل,,info@dreamherbs.online,https://www.dreamherbs.online/,مصر - الفيوم   						محافظة الفيوم,الحاصلات الزراعية,6
61,ELOMDA FOR IMPORT AND EXPORT,,ELOMDAEXP.IMP@GMAIL.COM,,محافظة البحيرة,الأثاث,7
62,المخابز الحديثة - ريتش بيك,0020236998610,engy.mohamed@richbake.com,http://www.modernbakeries.com,Plot (A) 1st & 2nd District Service Center - 6th of October City  						محافظة الجيزة,الصناعات الغذائية,7
63,بيرجاميستر,0862330456,contact@burgemeester-co.com,https://burgemeester-co.com/en_US,48 شارع الجمهورية - شارع بن خصيب  						محافظة المنيا,مواد البناء,7
64,White sea for shipping and trading,,Heshomare@hotmail.com,,محافظة الاسكندرية,الأثاث,7
65,دريم هاوس للتسويق الالكتروني,,hossam.vip22178@gmail.com,,منيا القمح محافظة الشرقية  						محافظة الشرقية,الحاصلات الزراعية,7
66,KB عضوي,+20 111 780 8886,info@kborganic.com,https://kborganic.com/home,Fayium، Egypt   						محافظة الفيوم,الحاصلات الزراعية,7
67,Extra for export,,kseif204@gmail.com,,محافظة الشرقية,الأثاث,7
68,المصرية البريطانية للكيماويات والمواد المساعدة,02-38202202,mohamed.fatah@egyptianbritish.net,http://www.egyptianbritish.net,قطعة 161 /المنطقة الصناعية الثانية / 6 اكتوبر / الجيزة   						محافظة الجيزة,الصناعات الكيماوية والأسمدة,7
69,النيل للاستيراد والتصدير,,info@elnileeg.com,https://elnileeg.com/,مصر - الفيوم - ابشواي  						محافظة الفيوم,الحاصلات الزراعية,7
70,Maa,,maaexportcompany@gmail.com,,محافظة القاهرة,الأثاث,7
71,الوادي الاخضر للصناعات الغزائية,,Mnage005@gmail.com,,محافظة الجيزة,الأثاث,8
72,F&K,+201145424221,m.salah@fkegypt.com,https://fkegypt.com/,38 Al Moltaqa Al-Araby District، Sheraton Al Matar، El Nozha، Cairo Governorate 11799 ، EGYPT  						محافظة القاهرة,الحاصلات الزراعية,8
73,الفتح المبين. طارق الجلاد,034853153,Mohamedtarekelgalad@hotmail.com,,ELSAYED MOHAMED KORAIM.ST.27  						محافظة الاسكندرية,الصناعات الغذائية,8
74,بيتاثيرم - الشركة المتحدة للتجارة و الصناعة,0224730550,export@betatherm-eg.com,https://betathermeg.com/,منطقة بياض العرب الصناعية قطعة رقم : 24 - 25  						محافظة بني سويف,الصناعات الكيماوية والأسمدة,8
75,بيور اورجانيك هيربس,,info@organicherbs-eg.com,https://organicherbs-eg.com/,مصر - محافظة الفيوم - مركز إبشواي - أبو جنشو - شارع المرور من طريق جبل سعد.  						محافظة الفيوم,الحاصلات الزراعية,8
76,Agdadona Company for food Industries,,soha.mohamed@agdadona.com,,محافظة الجيزة,الأثاث,8
77,ET Group,0502164007, 0109 0742274,etgroupinfo@yahoo.com,,المنصورة- حى الجامعة-شارع جيهان- برج ابو رية  						محافظة الدقهلية,الصناعات الطبية,8
78,Premium Lighting,00201227027829,info@premium-lighting.com,,2City stars towers - 6 October  						محافظة الجيزة,الصناعات الهندسية,8
79,مصنع السلام للمولدات,002-012 7272 5118,eemhm@elsalam-generators.com,http://elsalam-generators.com/,No. 5 El-fayrouz Building Gisr ElSuez St. in front of faroukya Buildings- Egypt.  						محافظة القليوبية,الصناعات الهندسية,8
80,هوك لعموم التصدير,,info@increible-ex.com,http://www.increible-ex.com,محافظة الاسكندرية,الأثاث,8
81,زهرة المحلة,0020402440540 – 0020402440471,info@zahretelmehalla.com,,المحلة الكبرى – المنطقة الصناعية – 10 ش جمعية الغزل-  						محافظة الغربية,الغزل والمنسوجات,10
82,شركة اولاد النجدى لتشكيل الرصاص,,info@nagdy-leadmetal.com,,محافظة أسيوط,الأثاث,10
83,جوكى مصر لصناعات ش.م.م.,+20(22860)7372-6,Haitham.hassan@jokey.com,http://www.Jokey.com,رقم القطعة 45/46 مدينة بدر - القاهرة  						محافظة القاهرة,الصناعات الكيماوية والأسمدة,10
84,هليوبوليس للتعدين,+(2010)20366433,info@heliopolismining.com,http://www.heliopolismining.com,الإداره : - مدينة العاشر من رمضان – ميدان الاردنيه – البترأمول 6 – بجوار معرض عتريس للسيراميك المصانع :مدينة العاشر من رمضان – المنطقه الصناعيه 3 A5 –  						محافظة الشرقية,الصناعات الكيماوية والأسمدة,10
85,الشرق للمعادن والتوريدات الصناعيه,034878543,td.elshark@gmail.com,http://www.elsharkpolymer.com,71 ش ابي الدرداء المنشيه الاسكندريه مصر  						محافظة الاسكندرية,الصناعات الهندسية,10
86,أرامــــــــــــــا - المـــــــــــــــــأمونيــــــــه للاستيراد و التصدير,,info@arama.com.eg,,محافظة الاسكندرية,الأثاث,10
87,بطة للاستيراد والتصدير,0020404422474,Batta_co@hotmail.com,http://www.battaco.com,مسهلة (مركز السنطة )  						محافظة الغربية,الحاصلات الزراعية,10
88,ياهمسن فور جرين فودز,,sales@yahmsn-gf.com,,محافظة الاسكندرية,الأثاث,10
89,3A,00201030441568,3A.icpa@gmail.com,,Belbas AlAsher Roead   						محافظة الشرقية,الصناعات الطبية,10
90,Abada Rashed,,x1z@msn.com,,محافظة المنوفية,الأثاث,10
