الرقم,اسم الشركة,الهاتف,الإيميل,الموقع,العنوان,القطاع,رقم الصفحة,تاريخ الاستخراج
14,الإسماعيلية للإستيراد والتصدير,064-3403849 - 064-3403852 - 064-3400275,isma_co2003@hotmail.com,,الإسماعيلية – مركز فايد  						محافظة الإسماعيلية,الحاصلات الزراعية,2,2025-07-22T04:26:18.071884
15,المينا فودز للصناعات الغذائية,0020403217000,314@expoegypt.com,http://www.minafood.net,الكيلو 82 طريق القاهره الاسكندريه الزراعى – دفره – طنطا   						محافظة الغربية,الصناعات الغذائية,2,2025-07-22T04:26:18.072434
16,المنارة للاستيراد والتصدير,0020403338284,315@expoegypt.com,,14ش ابو بكر الصديق – طنطا – الغربية  						محافظة الغربية,الحاصلات الزراعية,2,2025-07-22T04:26:18.073054
17,اس كيو ال شيبنج,01004033809,magdy.nofal@sqleg.com,http://www.sqleg.com,,الأثاث,2,2025-07-22T04:26:18.073622
18,الدلتا للغزل والنسيج,0020403556110- 0020403556095- 49,318@expoegypt.com,http://www.deltatex.com,6 ش الجلاء طنطا  						محافظة الغربية,الغزل والمنسوجات,2,2025-07-22T04:26:18.074236
19,منصور للنسيج,0020402246515,321@expoegypt.com,,ش نعمان الاعصر امام المعهد الدينى المحلة الكبرى  						محافظة الغربية,الغزل والمنسوجات,2,2025-07-22T04:26:18.074813
20,ثمرات للاستيراد والتصدير,01282383783,323@expoegypt.com,http://www.thamaraat.com,طنطا  						محافظة الغربية,الحاصلات الزراعية,2,2025-07-22T04:26:18.075383
21,طنطا موتورز للميكنة الزراعية,0020402222701,325@expoegypt.com,http://www.tantamotors.com,طنطا ش المديرية  						محافظة الغربية,الصناعات الهندسية,3,2025-07-22T04:26:20.637235
22,ايجي مينيرالز,,839_admin@egyptexportgate.com,http://www.egyminerals.com/,دمياط الجديدة- الحى الثاني  						محافظة دمياط,الصناعات الغذائية,3,2025-07-22T04:26:20.638916
23,جرين دايموند للأستيراد والتصدير,0201010100104,export@greendiamond.net,,11ش احمد شاهين من ش النادى – طنطا  						محافظة الغربية,الحاصلات الزراعية,3,2025-07-22T04:26:20.640476
24,ايه-اتش-ام انترناشونال للإستيراد والتصدير,,333_admin@egyptexportgate.com,,كفر البطيخ - الركابية  						محافظة دمياط,الأثاث,3,2025-07-22T04:26:20.641669
25,الشركة المصرية للمفروشات (النجار ),0020402381599 - 0020402890099,337@expoegypt.com,http://www.eigtex.com/,طريق المحلة – المنصوره الزارعى – ك9  						محافظة الغربية,الغزل والمنسوجات,3,2025-07-22T04:26:20.642301
26,مضارب الغربية,0020402381949,345@expoegypt.com,,ش 23 يوليو – عمارة التامين   						محافظة الغربية,الصناعات الغذائية,3,2025-07-22T04:26:20.642835
27,مؤسسة مملكة النحل – عتمان الأصلى,0020403060001,367_admin@egyptexportgate.com,http://www.ettmanhoneykingdom.com /facebook/beekingdombee,طنطا-طريق المحلة الكبرى الكيلو 9 – شبشير الحصة   						محافظة الغربية,الصناعات الغذائية,3,2025-07-22T04:26:20.643365
28,الأمير لتصنيع وتجهيز الحاصلات الزراعية,0020452702911/ 0020452702386,alamir_ac@hotmail.com,http://alamireg.com/,حوش عيسى - طريق دمنهور/أبو المطامير - البحيرة  						محافظة البحيرة,الحاصلات الزراعية,3,2025-07-22T04:26:20.643950
29,إل جي  للإلكترونيات,(064) 3482146-3482147,378@expoegypt.com,http://www.lg.com - http://www.lg.com/eg_ar,المنطقة الصناعية الثانية بجوار مصنع يوتن  						محافظة الإسماعيلية,الصناعات الهندسية,3,2025-07-22T04:26:20.644524
30,صان بريزم لتكنولوجيا الطاقة,01222302772 - 3485247/064,379@expoegypt.com,https://sunprismsolar.com/,المنطقة الحرة العامة بالإسماعيلية ، مصر  						محافظة الإسماعيلية,الصناعات الهندسية,3,2025-07-22T04:26:20.645119
31,السويدي للإضاءة والصناعات الكهربائية,3483440 – 3483276 - 0223911633,380@expoegypt.com,http://www.elsewedylighting.com,المنطقة الصناعية الأولي بالإسماعيلية  						محافظة الإسماعيلية,الصناعات الهندسية,4,2025-07-22T04:26:23.221187
32,كفر الزيات للمبيدات والكيماويات,0020402542444 - 0020402542355,386@expoegypt.com,http://www.kz-chemicals.com,كفر الزيات   						محافظة الغربية,الصناعات الكيماوية والأسمدة,4,2025-07-22T04:26:23.222022
33,بيرد للملابس الجاهزة,0020402443239,387@expoegypt.com,,موقف كفر الشيخ خلف الادارة الزراعية  - المحلة الكبرى   						محافظة الغربية,الغزل والمنسوجات,4,2025-07-22T04:26:23.222959
34,سقارة للحاصلات الزراعية,01222334202- 01222334262,388@expoegypt.com,,طنطا الطريق السريع – بجوار مصنع الكوكاكولا  						محافظة الغربية,الحاصلات الزراعية,4,2025-07-22T04:26:23.223929
35,الاسكندرية للغزل والنسيج,(203) 3813240,393_admin@egyptexportgate.com,http://www.spinalex.com,الإسكندرية -البر القبلى -قنال المحمودية – النزهة  						محافظة الاسكندرية,الغزل والمنسوجات,4,2025-07-22T04:26:23.224907
36,شركة الصفا للطباعة و التغليف,+(203) 4700125,394_admin@egyptexportgate.com,,الكيلو 23 طريق اسكندرية القاهرة الصحراوى - مرغم  						محافظة الاسكندرية,الطباعة والتغليف والورق,4,2025-07-22T04:26:23.225905
37,الشركة التجارية للاخشاب (فاباس),+(203) 4401033,430_admin@egyptexportgate.com,www.fabas.com.eg,1 شارع ست الملك - الورديان  						محافظة الاسكندرية,الأثاث,4,2025-07-22T04:26:23.226910
38,مؤسسة هيا,00201221579012 / 00201096699728,hayegypt@gmail.com,http://www.hayafoodsegypt.com,75ك طريق مصر اسكندرية الصحراوى - مدينة النوبارية - البحيرة  						محافظة البحيرة,الصناعات الغذائية,4,2025-07-22T04:26:23.227896
39,شركة الحناوى للدخان والمعسل,+20453319446 / +20453319142,229@expoegypt.com,,4 ش الحناوى - دمنهور - البحيرة  						محافظة البحيرة,الصناعات الغذائية,4,2025-07-22T04:26:23.228803
40,شركة الحناوى للدخان والمعسل,0020453319446 /0020453319142,233@expoegypt.com,,4 ش الحناوى - دمنهور - البحيرة  						محافظة البحيرة,الصناعات الغذائية,4,2025-07-22T04:26:23.229700
41,مصر للحرير الصناعي وألياف البولى استر,0020452278518 / 002033932290,info@misrayon.com,http://www.misrayon.com,دفشو - كفر الدوار - البحيرة  						محافظة البحيرة,الغزل والمنسوجات,5,2025-07-22T04:26:25.935711
42,المصرية للتجارة والصناعة (سوجيك),+(203) 3612597- 3615748,244@expoegypt.com,http://www.sogic-group.com/,ش قناة السويس – أمام شركة الزيوت المستخلصة – بجوار فندق سيستا - المنشية الجديدة -محرم بك  						محافظة الاسكندرية,الملابس الجاهزة,5,2025-07-22T04:26:25.938782
43,جودة للمنتجات الزراعية,0473402097,252_admin@egyptexportgate.com,,عزبة جودة - قلين - كفرالشيخ  						محافظة كفر الشيخ,الحاصلات الزراعية,5,2025-07-22T04:26:25.940716
44,هيربس مان,,info@herbs-man.com,https://herbs-man.com/index.html,ابوجنشو - ابشواي - الفيوم - مصر  						محافظة الفيوم,الحاصلات الزراعية,5,2025-07-22T04:26:25.942895
45,مصنع ادخنه الدفراوي,,Eldefrawi.factory1912@gmail.com,,محافظة الاسكندرية,الأثاث,5,2025-07-22T04:26:25.944381
46,دياثيرم,,info@dayatherm.com,https://dayatherm.com/,محافظة الفيوم,الصناعات الهندسية,5,2025-07-22T04:26:25.946060
47,استيراد وتصدير,00201000565513,moustafawahab71@gmail.com,,م  المنصورة   بدين  						محافظة الدقهلية,الحاصلات الزراعية,5,2025-07-22T04:26:25.947581
48,Rageh import & export,01008201453,sayedrageh53@gmail.com,,Kom hammada  elbeheira  						محافظة البحيرة,الحاصلات الزراعية,5,2025-07-22T04:26:25.949007
49,hassan abdelrazek,,hassanabdelrazek@outlook.com,,محافظة دمياط,الأثاث,5,2025-07-22T04:26:25.950403
50,عياد للتجارة,0472559120,ayadamr@yahoo.com,,دسوق  الميدان الابراهيمى 30 عمارة احمد سالم  						محافظة كفر الشيخ,الحاصلات الزراعية,5,2025-07-22T04:26:25.957357
51,أجرو سيتي للإستيراد والتصدير - عبد المقصود فوزي,,abdo@agro-city.com,http://www.agro-city.com,محافظة المنوفية,الحاصلات الزراعية,6,2025-07-22T04:26:28.560343
52,Abo elhol Egyptian Company for Oils and Detergents,033817082,aboelhol86@gmail.com,http://www.abo-elhol.com,شارع قنال المحمودية البر القبلي محرم بك  						محافظة الاسكندرية,الصناعات الغذائية,6,2025-07-22T04:26:28.561410
53,البدر,,mosline_2002@yahoo.com,,محافظة الجيزة,الأثاث,6,2025-07-22T04:26:28.562383
54,المجد لتسويق المفروشات وتجهيزات الفنادق,00201000279001 / 00201033048811,elmagd.marketing@gmail.com,,414شارع بورسعيد . الموسكى . القاهره .   						محافظة القاهرة,المفروشات المنزلية,6,2025-07-22T04:26:28.562990
55,نكسز الزراعية,01015673289,nexus.misr@gmail.com,,طنطا - 23 ش حسن رضوان   						محافظة الغربية,الحاصلات الزراعية,6,2025-07-22T04:26:28.563608
56,GENERAL METAL,+2-01005810664,ahmed.samir@asasaltaemir.com,,AL MAHALLA AL KOBRA . ALGHARBIA  						محافظة الغربية,الصناعات الهندسية,6,2025-07-22T04:26:28.564647
57,البستان للتعمير والتنمية الزراعية,+20 (3) 4842756,export@elbostan-group.com,http://www.elbostan-group.com,25 شارع السلطان حسين - عمارة السلطان رويال بلازا - الدور الخامس - شقه 503  						محافظة الاسكندرية,الحاصلات الزراعية,6,2025-07-22T04:26:28.565929
58,alzahbyalzahby,,alzahaby.co@gmail.com,,محافظة البحيرة,الأثاث,6,2025-07-22T04:26:28.566977
59,Egyptian European Company for Food Products,02 23896287,info@egeufoods.com,http://www.egeufoods.com,10th of Ramadan - 3rd Industrial Zone،A3.1/92  						محافظة الشرقية,الصناعات الغذائية,6,2025-07-22T04:26:28.568320
60,دريم هيربل,,info@dreamherbs.online,https://www.dreamherbs.online/,مصر - الفيوم   						محافظة الفيوم,الحاصلات الزراعية,6,2025-07-22T04:26:28.569244
61,ELOMDA FOR IMPORT AND EXPORT,,ELOMDAEXP.IMP@GMAIL.COM,,محافظة البحيرة,الأثاث,7,2025-07-22T04:26:31.182272
62,المخابز الحديثة - ريتش بيك,0020236998610,engy.mohamed@richbake.com,http://www.modernbakeries.com,Plot (A) 1st & 2nd District Service Center - 6th of October City  						محافظة الجيزة,الصناعات الغذائية,7,2025-07-22T04:26:31.182879
63,بيرجاميستر,0862330456,contact@burgemeester-co.com,https://burgemeester-co.com/en_US,48 شارع الجمهورية - شارع بن خصيب  						محافظة المنيا,مواد البناء,7,2025-07-22T04:26:31.183479
64,White sea for shipping and trading,,Heshomare@hotmail.com,,محافظة الاسكندرية,الأثاث,7,2025-07-22T04:26:31.184725
65,دريم هاوس للتسويق الالكتروني,,hossam.vip22178@gmail.com,,منيا القمح محافظة الشرقية  						محافظة الشرقية,الحاصلات الزراعية,7,2025-07-22T04:26:31.185391
66,KB عضوي,+20 111 780 8886,info@kborganic.com,https://kborganic.com/home,Fayium، Egypt   						محافظة الفيوم,الحاصلات الزراعية,7,2025-07-22T04:26:31.187610
67,Extra for export,,kseif204@gmail.com,,محافظة الشرقية,الأثاث,7,2025-07-22T04:26:31.189982
68,المصرية البريطانية للكيماويات والمواد المساعدة,02-38202202,mohamed.fatah@egyptianbritish.net,http://www.egyptianbritish.net,قطعة 161 /المنطقة الصناعية الثانية / 6 اكتوبر / الجيزة   						محافظة الجيزة,الصناعات الكيماوية والأسمدة,7,2025-07-22T04:26:31.191620
69,النيل للاستيراد والتصدير,,info@elnileeg.com,https://elnileeg.com/,مصر - الفيوم - ابشواي  						محافظة الفيوم,الحاصلات الزراعية,7,2025-07-22T04:26:31.193169
70,Maa,,maaexportcompany@gmail.com,,محافظة القاهرة,الأثاث,7,2025-07-22T04:26:31.196057
71,الوادي الاخضر للصناعات الغزائية,,Mnage005@gmail.com,,محافظة الجيزة,الأثاث,8,2025-07-22T04:26:33.776841
72,F&K,+201145424221,m.salah@fkegypt.com,https://fkegypt.com/,38 Al Moltaqa Al-Araby District، Sheraton Al Matar، El Nozha، Cairo Governorate 11799 ، EGYPT  						محافظة القاهرة,الحاصلات الزراعية,8,2025-07-22T04:26:33.777451
73,الفتح المبين. طارق الجلاد,034853153,Mohamedtarekelgalad@hotmail.com,,ELSAYED MOHAMED KORAIM.ST.27  						محافظة الاسكندرية,الصناعات الغذائية,8,2025-07-22T04:26:33.778023
74,بيتاثيرم - الشركة المتحدة للتجارة و الصناعة,0224730550,export@betatherm-eg.com,https://betathermeg.com/,منطقة بياض العرب الصناعية قطعة رقم : 24 - 25  						محافظة بني سويف,الصناعات الكيماوية والأسمدة,8,2025-07-22T04:26:33.778627
75,بيور اورجانيك هيربس,,info@organicherbs-eg.com,https://organicherbs-eg.com/,مصر - محافظة الفيوم - مركز إبشواي - أبو جنشو - شارع المرور من طريق جبل سعد.  						محافظة الفيوم,الحاصلات الزراعية,8,2025-07-22T04:26:33.779211
76,Agdadona Company for food Industries,,soha.mohamed@agdadona.com,,محافظة الجيزة,الأثاث,8,2025-07-22T04:26:33.779778
77,ET Group,0502164007, 0109 0742274,etgroupinfo@yahoo.com,,المنصورة- حى الجامعة-شارع جيهان- برج ابو رية  						محافظة الدقهلية,الصناعات الطبية,8,2025-07-22T04:26:33.780352
78,Premium Lighting,00201227027829,info@premium-lighting.com,,2City stars towers - 6 October  						محافظة الجيزة,الصناعات الهندسية,8,2025-07-22T04:26:33.780925
79,مصنع السلام للمولدات,002-012 7272 5118,eemhm@elsalam-generators.com,http://elsalam-generators.com/,No. 5 El-fayrouz Building Gisr ElSuez St. in front of faroukya Buildings- Egypt.  						محافظة القليوبية,الصناعات الهندسية,8,2025-07-22T04:26:33.781483
80,هوك لعموم التصدير,,info@increible-ex.com,http://www.increible-ex.com,محافظة الاسكندرية,الأثاث,8,2025-07-22T04:26:33.782029
81,الحمزاوي لاستيراد وتصدير الأعشاب,,info@alhamzawy.com,,مصر - الفيوم - ابشواي- بجوار المستشفي   						محافظة الفيوم,الحاصلات الزراعية,9,2025-07-22T04:26:36.306859
82,elyasmin Herbel,0842719297,mo.mamdouh2020@gmail.com,http://www.alyasminherbal.com/,الفيوم _ابشواي _شارع الروبي ابو جنشو   						محافظة الفيوم,الحاصلات الزراعية,9,2025-07-22T04:26:36.307475
83,الشركة المصرية للأملاح والمعادن بالفيوم (إميسال),002084 2830769 /002084 2830768,info@emisalsalts.com,https://www.emisalsalts.com,المصانع – شكشوك – مركز أبشواي – محافظة الفيوم  						محافظة الفيوم,الصناعات الغذائية,9,2025-07-22T04:26:36.308007
84,جرين لاند,+20842362981,Sales@greenlandeg.com,https://greenlandeg.com/index.html,الفيوم - تطون   						محافظة الفيوم,الحاصلات الزراعية,9,2025-07-22T04:26:36.308561
85,شــركـة طـيـبـة للتوريدات العامة اعشاب طبية ونباتات,00201002491611,Support@taibash.com,https://taibash.com,منشاة رحمي - مركز اطسا  محافظة الفيوم – مصر  						محافظة الفيوم,الحاصلات الزراعية,9,2025-07-22T04:26:36.309076
86,شركة الفيوم للسكر,25922475 02 – 25922479 02,faiyumsugar@gmial.com,http://www.faiyumsugar.com/,محافظة الفيوم,الصناعات الغذائية,9,2025-07-22T04:26:36.309594
87,مكرونة كوين,6212657(084),macaroniqueen@gamil.com,http://www.macaroniqueen.com,المنطقة الصناعية - كوم اوشيم الفيوم   						محافظة الفيوم,الصناعات الغذائية,9,2025-07-22T04:26:36.310109
88,شركة هوست للتصدير,,Hostalex2015@gmail.com,,محافظة البحيرة,الأثاث,9,2025-07-22T04:26:36.310650
89,الشروق للمنظفات,01102226668,sedkyalaa@hotmail.com,,4 اللاسلكى المعادى الجديدة  						محافظة القاهرة,الصناعات الكيماوية والأسمدة,9,2025-07-22T04:26:36.311208
90,هربس مان للاستيراد والتصدير,,sales@herbs-man.com,https://www.herbs-man.com/  https://www.facebook.com/people/HERBS-MAN/100094445105954/,أبوجينشو ، مركز ابشواى ، الفيوم ، مصر.  						محافظة الفيوم,الحاصلات الزراعية,9,2025-07-22T04:26:36.311769
91,زهرة المحلة,0020402440540 – 0020402440471,info@zahretelmehalla.com,,المحلة الكبرى – المنطقة الصناعية – 10 ش جمعية الغزل-  						محافظة الغربية,الغزل والمنسوجات,10,2025-07-22T04:26:38.868675
92,شركة اولاد النجدى لتشكيل الرصاص,,info@nagdy-leadmetal.com,,محافظة أسيوط,الأثاث,10,2025-07-22T04:26:38.869250
93,جوكى مصر لصناعات ش.م.م.,+20(22860)7372-6,Haitham.hassan@jokey.com,http://www.Jokey.com,رقم القطعة 45/46 مدينة بدر - القاهرة  						محافظة القاهرة,الصناعات الكيماوية والأسمدة,10,2025-07-22T04:26:38.869859
94,هليوبوليس للتعدين,+(2010)20366433,info@heliopolismining.com,http://www.heliopolismining.com,الإداره : - مدينة العاشر من رمضان – ميدان الاردنيه – البترأمول 6 – بجوار معرض عتريس للسيراميك المصانع :مدينة العاشر من رمضان – المنطقه الصناعيه 3 A5 –  						محافظة الشرقية,الصناعات الكيماوية والأسمدة,10,2025-07-22T04:26:38.870477
95,الشرق للمعادن والتوريدات الصناعيه,034878543,td.elshark@gmail.com,http://www.elsharkpolymer.com,71 ش ابي الدرداء المنشيه الاسكندريه مصر  						محافظة الاسكندرية,الصناعات الهندسية,10,2025-07-22T04:26:38.871053
96,أرامــــــــــــــا - المـــــــــــــــــأمونيــــــــه للاستيراد و التصدير,,info@arama.com.eg,,محافظة الاسكندرية,الأثاث,10,2025-07-22T04:26:38.871641
97,بطة للاستيراد والتصدير,0020404422474,Batta_co@hotmail.com,http://www.battaco.com,مسهلة (مركز السنطة )  						محافظة الغربية,الحاصلات الزراعية,10,2025-07-22T04:26:38.872229
98,ياهمسن فور جرين فودز,,sales@yahmsn-gf.com,,محافظة الاسكندرية,الأثاث,10,2025-07-22T04:26:38.872778
99,3A,00201030441568,3A.icpa@gmail.com,,Belbas AlAsher Roead   						محافظة الشرقية,الصناعات الطبية,10,2025-07-22T04:26:38.873363
100,Abada Rashed,,x1z@msn.com,,محافظة المنوفية,الأثاث,10,2025-07-22T04:26:38.873909
101,آل رياض لتصدير النحل المصري ومنتجاته,,bona.bona6@gmail.com,,الدقهلية - دكرنس  						محافظة الدقهلية,الصناعات الغذائية,11,2025-07-22T04:26:41.464369
102,BRIDE SHOES,,Abanoubnashaat77@gmail.com,,محافظة الفيوم,الأثاث,11,2025-07-22T04:26:41.465020
103,El hoda agro,,abdallahwahed05@gmail.com,,محافظة كفر الشيخ,الحاصلات الزراعية,11,2025-07-22T04:26:41.465589
104,وادي النيل للصناعات الغذائية,,abdelrahmanadel216@gmail.com,http://www.alshahedgroup-eg.com,محافظة المنوفية,الصناعات الغذائية,11,2025-07-22T04:26:41.466172
105,AL Hossam Export Company,01064888500,Abdalla.hossam@outlook.com,http://www.alhossamexport.com,ابوحماد الشرقية مصر  						محافظة الشرقية,الحاصلات الزراعية,11,2025-07-22T04:26:41.467292
106,stones export & general supplies,+20 121 125 2246,abdalla@stoneseg.net,,محافظة القاهرة,مواد البناء,11,2025-07-22T04:26:41.469374
107,Sedra Grains,,sedragrains.eg@gmail.com,,محافظة البحيرة,الأثاث,11,2025-07-22T04:26:41.471093
108,شركة إم. أي. إس. للملابس الجاهزة,20224048318,abdalla.serafy@hotmail.com,,77 ب طريق النصر - مدينة نصر  						محافظة القاهرة,الملابس الجاهزة,11,2025-07-22T04:26:41.472579
109,الريان هيربس,01067580075,atfbdallh147@gmail.com,https://www.alrayyan-herbs.com/index.html,مصر - الفيوم- ابشواي - ابوجنشو  						محافظة الفيوم,الحاصلات الزراعية,11,2025-07-22T04:26:41.473692
110,جيزة للغزل و النسيج,+20238900210,abdallah@gizaspin.com,http://www.gizaspin.com,كفر حكيم - كرداسة - محافظة الجيزة - مصر  						محافظة الجيزة,الغزل والمنسوجات,11,2025-07-22T04:26:41.474346
111,fattouh plastic factory,,abdallah_fattouh@hotmail.com,,محافظة الجيزة,الأثاث,12,2025-07-22T04:26:44.045284
112,سكاى لاين للاستيراد والتصدير,,eng.abdallah.aga@gmail.com,http://www.international-rs.net,محافظة القاهرة,الحاصلات الزراعية,12,2025-07-22T04:26:44.045876
113,شركة لوتس للتجارة الخارجية,,lotas@tedata.net.eg,,محافظة الجيزة,الأثاث,12,2025-07-22T04:26:44.046448
114,MEGAPORT FOR Import and Export,01211154960,abdallah3r@yahoo.com,,14شارع النصر الجمرك الإسكندرية   						محافظة الاسكندرية,الحاصلات الزراعية,12,2025-07-22T04:26:44.046988
115,Green Minds,,abdallah.yakoub@greenmindsgroup.com,,محافظة الاسكندرية,الأثاث,12,2025-07-22T04:26:44.047519
116,سوبر ستون,01024731611,abdalluhmobkheet@gmail.com,,محافظة المنيا,الصناعات الكيماوية والأسمدة,12,2025-07-22T04:26:44.048055
117,Smart life,,smartlife.mission@gmail.com,,محافظة البحيرة,الأثاث,12,2025-07-22T04:26:44.048583
118,elshamandoura import export,00201220230065,elsmalawy2011@yahoo.com,,104Abdel Salam Aref St. Glim Alexandria  						محافظة الاسكندرية,الصناعات الغذائية,12,2025-07-22T04:26:44.049122
119,Deyar Interiors,(+202) 2417-4105,asakr@deyarinteriors.com,https://www.deyarinteriors.com,23 ش كليوباترا- هليوبوليس- القاهرة  						محافظة القاهرة,الأثاث,12,2025-07-22T04:26:44.049758
120,Golden Eagle Exporting,,melkhayat@goldeneagleexporting.com,,محافظة الجيزة,الأثاث,12,2025-07-22T04:26:44.051235
121,Nasayem El-khier for foodstuff trading and  eportxa,,abdelazizdiab444@gmail.com,,محافظة الشرقية,الصناعات الغذائية,13,2025-07-22T04:26:46.639331
122,AlSalam For Aluminium Trading Company,00202-35715550,abdelazizps@hotmail.com,,8 شارع البحر الأعظم - جزيرة الدهب - الجيزة  						محافظة الجيزة,الصناعات الهندسية,13,2025-07-22T04:26:46.640049
123,Transship Exporting ( Finest Egyptian Oranges، Pomegranate، Mango، Grapes & Semi-Dried Dates، Sweet Potatoes، Onions، Garlic),00201006114998,a.wahid@trans-ship.com,http://www.trans-ship.com,Beverly Hills، Sheikh Zayed، Giza، Egypt  						محافظة الجيزة,الحاصلات الزراعية,13,2025-07-22T04:26:46.640609
124,Shamandoura import export,035482332,elsmalawy2011@gmail.com,,104 شارع عبد السلام عارف جليم الإسكندرية مصر  						محافظة الاسكندرية,الصناعات الكيماوية والأسمدة,13,2025-07-22T04:26:46.641558
125,الإكرادي وعامر وشركاه,+201000002411,alakrady@gmail.com,,دمياط الجديدة - امتداد المنطقة الصناعية - قطعة رقم ١٠ بلوك٨   						محافظة دمياط,الأثاث,13,2025-07-22T04:26:46.642256
126,ALTALAB PLAST,0482590401,altalabplast@yahoo.com,http://www.altalabplast.net,قويسنا - المنطقه الصناعيه الثانيه بجوار البنك الاهلى  						محافظة المنوفية,الصناعات الكيماوية والأسمدة,13,2025-07-22T04:26:46.642822
127,مواسم الحصاد للتصدير,00201226164247,harvest.seasons@outlook.sa,,منشيه جنذور - مركز طنطا - محافظة الغربية   						محافظة الغربية,الحاصلات الزراعية,13,2025-07-22T04:26:46.643342
128,Nawarwood,+201008579958,arch.abdo.cr@gmail.com,,24 ش عمرو المختار، الإسكندرية  						محافظة الاسكندرية,الأثاث,13,2025-07-22T04:26:46.643912
129,Elfatth logistics,01016966669,a.eissa@elfatth.com,http://www.elfatth.com,124 شارع عبدالسلام الشاذلي دمنهور البحيرة  						محافظة البحيرة,الحاصلات الزراعية,13,2025-07-22T04:26:46.644501
130,نماء للإستثمار الزراعى والحيوانى,0643130200,elrewahy@gmail.com,http://www.namaa.com.eg,كوبرى سامى سعد ابو صوير - ترعة الطلمبات - ابو صوير المحطة - الإسماعيلية  						محافظة الإسماعيلية,الحاصلات الزراعية,13,2025-07-22T04:26:46.645076
131,Egyptian transportation and logistics services company,,abdelhamid@egytransport.net,,محافظة الاسكندرية,الأثاث,14,2025-07-22T04:26:49.171229
132,The Egyptian Company For Transportation Services,,abdelhamidyasser@egyptiantransport.com,,محافظة الاسكندرية,الأثاث,14,2025-07-22T04:26:49.171775
133,فريش كروبس,,anabedo309@gmail.com,,محافظة المنوفية,الأثاث,14,2025-07-22T04:26:49.172315
134,Electric Cloud,,Eng.Abdelkawy.Mobarak@gmail.com,,محافظة الاسكندرية,الأثاث,14,2025-07-22T04:26:49.172841
135,الشركة الدولية للتصدير,,Abdellatif_sharshar@yahoo.com,,محافظة الجيزة,الأثاث,14,2025-07-22T04:26:49.173371
136,سيلك رووت,201100001895+,ceo@silkrouteeg.com,https://silkrouteeg.com,قطعة 39 - المنطقة الصناعية جنوب غرب أ6- مدينة العاشر من رمضان - الشرقية   						محافظة الشرقية,الصناعات الكيماوية والأسمدة,14,2025-07-22T04:26:49.173946
137,Nile harvest for export,,call_barakat@hotmail.com,,محافظة الشرقية,الأثاث,14,2025-07-22T04:26:49.174478
